cde,section,label,description,synonyms
DWAG,OTHER MODELS,DEAD WT kg/ha.d,Dead material increase (kg [dm]/(ha.d)),
HIND,OTHER MODELS,HARVEST N INDEX,Harvest index fo N (grain [N]/tops [N]),
HNAD,OTHER MODELS,Harvest N kg/ha,"Harvest product (eg.,grain,storage root) N (kg/ha)",
HNAM,OTHER MODELS,Harvest N kg/ha,"Harvest product (eg.,grain,tuber) N  at maturity (kg/ha",
HNCD,OTHER MODELS,Harvest N conc.,"Harvest product (eg.,grain,storage root) N conc (fr)",
HN%D,OTHER MODELS,Harvest N %,"Harvest product (eg.,grain,storage root) N conc (%)",
HN%M,OTHER MODELS,Harvest N %,"Harvest product (eg.,grain,tuber) N conc at maturity (%",
LA%D,OTHER MODELS,ABSORBED PAR,Absorbed PAR (%),
LAIPD,OTHER MODELS,LAI produced,Leaf area index produced to the present time (m2/m2),
LAISD,OTHER MODELS,LAI senesced,Leaf area index senesced to the present time (m2/m2),
NFGD,OTHER MODELS,"N FACTOR,GROWTH",N factor for leaf growth (0-1),
NFPD,OTHER MODELS,"N FACTOR,PHOTSN",N factor for photosynthesis (0-1),
NFSD,OTHER MODELS,"N FACTOR,SENES",N factor for senescence (0-1),
NFTD,OTHER MODELS,"N FACTOR,TILLER",N factor for tillering (0-1),
NFUD,OTHER MODELS,"N FACTOR,UPTAKE",N factor for N uptake (fr),
NSTD,OTHER MODELS,N STRESS FACTOR,Nitrogen stress factor (0-1),
PARUD,OTHER MODELS,PAR UTIZATION,PAR utilization efficiency (g/MJ),
PMAD,OTHER MODELS,PANICLE WT g/m2,Panicle weight (grain+structural;g/m2 or kg/ha),
PTF,OTHER MODELS,SHOOT FRACTION,Partition fraction of assimilates to shoot (0-1),
PTFD,OTHER MODELS,SHOOT FRACTION,Partition fraction of assimilates to shoot (0-1),
RNAD,OTHER MODELS,ROOT N kg/ha,Root N (kg/ha),
RNCD,OTHER MODELS,ROOT N %,Root nitrogen concentration on a specific day    %,
RS%D,OTHER MODELS,RESERVES %,Reserves concentration (%),
RSAD,OTHER MODELS,STEM RESERVES,Stem reserves weight (g/m2 or kg/ha),
RSFP,OTHER MODELS,RESERVES FACTOR,Reserves factor for photosynthesis (0-1),
RSWAD,OTHER MODELS,RESERVES kg/ha,Reserves weight (kg/ha),
SAID,OTHER MODELS,STEM AREA INDEX,Stem area index (m2/m2),
SDNAD,OTHER MODELS,SEED N kg/ha,Seed (ie.what sown) N (kg/ha),
SDNCD,OTHER MODELS,SEED N %,Seed (ie.what sown) N concentration %,
SDWAD,OTHER MODELS,SEED WT kg/ha,Seed (ie.what sown) weight (kg/ha),
SDN%D,OTHER MODELS,SEED N %,Seed (ie.what sown) N concentration (%),
SGDMD,OTHER MODELS,Grn Leaf Sheath,Green leaf sheath weight (t/ha),
SLND,OTHER MODELS,SPECIFIC LF N,Specific leaf N (g [N]/cm2 [leaf]),
SNCD,OTHER MODELS,STEM N %,Stem nitrogen concentration on a specific day   %,
SNN0C,OTHER MODELS,Senes Surf N,Cumulative senesced N to surface (kg[N]/ha),
SNN0D,OTHER MODELS,Senes Surf N,Senesced N to surface (kg[N]/ha.d),
SNN1C,OTHER MODELS,Senes Soil N,Cumulative senesced N to soil (kg[N]/ha),
SNN1D,OTHER MODELS,Senes Soil N,Senesced N to soil (kg[N]/ha.d),
SNNTC,OTHER MODELS,Senes Soil N,Cumulative senesced N to soil and surface (kg[N]/ha),
SNPTC,OTHER MODELS,Senes Soil P,Cumulative senesced P to soil and surface (kg[P]/ha),
SNW0C,OTHER MODELS,Senes Surf Wt.,Cumulative senesced dry matter to surface (kg/ha),
SNW0D,OTHER MODELS,Senes Surf Wt.,Daily senesced dry matter to surface (kg/ha.d),
SNW1C,OTHER MODELS,Senes Soil Wt.,Cumulative senesced dry matter to soil (kg/ha),
SNW1D,OTHER MODELS,Senes Soil Wt.,Daily senesced dry matter to soil (kg/ha.d),
SNXD,OTHER MODELS,Extr. N kg/ha,Extractable soil N (kg[N]/ha),
SSAD,OTHER MODELS,STRUCTURAL STEM,Structural stem weight (g/m2 or kg/ha),
TFGD,OTHER MODELS,TEMP FAC GROWTH,Temperature factor for leaf growth (0-1),
TFGEM,OTHER MODELS,TEMP FAC GERM,Temperature factor for germination and emergence (0-1),
TFPD,OTHER MODELS,TEMP FAC PHS,Temperature factor for photosynthesis (0-1),
TNAD,OTHER MODELS,TOPS N kg/ha,Tops (ie canopy) N (kg/ha),
TRRD,OTHER MODELS,TRANSLOC RESP,Translocation respiration (g/(m2.d) or kg/(ha.d)),
TRWUD,OTHER MODELS,Act H2O uptake,Root water uptake (cm/d),
TWUPD,OTHER MODELS,Pot H2O uptake,Potential root water uptake (cm/d),
VNCD,OTHER MODELS,Veg N conc. fr,Vegetative above-ground tissue N concentration (fr),
VN%D,OTHER MODELS,Veg N%,Vegetative above-ground tissue N concentration (%),
VN%LD,OTHER MODELS,Veg N% minimum,Vegetative above-ground tissue minimum N conc. (%),
VN%CD,OTHER MODELS,Veg N% critical,Vegetative above-ground tissue critical N conc. (%),
VRNF,OTHER MODELS,VERNALIZE FAC,Vernalization factor (0-1),
WFGE,OTHER MODELS,Water Fac Emer,Water stress factor for emergence (0-1),
WFSD,OTHER MODELS,Water Fac Senes,Water stress factor for senescence (0-1),
WFTD,OTHER MODELS,Water Fac Trans,Water stress factor for transpiration (0-1),
WSTD,OTHER MODELS,Water Fac Tilr,Water stress factor for tillering (0-1),
YEAR,OTHER MODELS,YEAR,Year (4 digits),
RCANE,OTHER MODELS,Cane Type,PlantCane or Ratoon Cane,
DDLMD,OTHER MODELS,Dead Leaf Biom.,Dead Leaves Biomass (ton/ha)   							.,
DDTMD,OTHER MODELS,Dead Tillers B.,Dead Tillers Biomass (ton/ha)							.,
SEQR,OTHER MODELS,Ratoon Seq.,Ratooning Cane Sequence,
TTTOT,OTHER MODELS,Total TT,Total thermal time accumulated (oCdays),
BBDMD,OTHER MODELS,Below Ground W,Total below ground dry weight (ton/ha),
CSTAT,OTHER MODELS,Crop Status,"Crop Status (1=alive, 0=dead)",
GLI%D,OTHER MODELS,Light Int. GL,Fraction of light intercepted by green leaves (0-1),
TLI%D,OTHER MODELS,Light Int. TL,Fraction of light intercepted by dry+green leaves (0-1),
TRWUP,OTHER MODELS,TotRootUpPot,Potential Root Water Uptake (mm/d),
EOP,OTHER MODELS,PTranspiration,Potential Crop Transpiration (mm/d),
COAD,OTHER MODELS,Oil kg/ha,Total oil accumulated (kg/ha)                     .,
COAM,OTHER MODELS,Oil kg/ha at PM,Total oil accumulated at physiological maturity (kg/ha),
XWAD,OTHER MODELS,Oil kg /ha,Oil kg/ha,
XO%D,OTHER MODELS,Seed oil %,Seed oil concentration (%),
HSAM,OTHER MODELS,Seed Yield,Yield at harvest maturity (kg/ha 9% moisture),
CO20C,SOIL ORGANIC MATTER,SurfCO2 (kg/ha),Cumul. CO2 from surface org. matter decomp (kg[C]/ha),
CO2SC,SOIL ORGANIC MATTER,SoilCO2 (kg/ha),Cumul. CO2 from soil org. matter decomposition (kg[C]/h,
CO2TC,SOIL ORGANIC MATTER,TotSoilCO2(k/h),Cumul. CO2 from surface + soil OM decomp. (kg[C]/ha),
CO2TD,SOIL ORGANIC MATTER,SoilCO2(kg/ha),Daily CO2 from surface + soil OM decomp. (kg[C]/ha),
HRCH,SOIL ORGANIC MATTER,C harvest res,C in harvest residue (kg [C]/ha),
HRNH,SOIL ORGANIC MATTER,N harvest res,N in harvest residue (kg [N]/ha),
HRPH,SOIL ORGANIC MATTER,P harvest res,P in harvest residue (kg [P]/ha),
LC0D,SOIL ORGANIC MATTER,LitC L0 (kg/ha),Litter C on surface (kg/ha),
LC1D,SOIL ORGANIC MATTER,LitC L1 (kg/ha),Litter C - soil layer 1 (kg/ha),
LC2D,SOIL ORGANIC MATTER,LitC L2 (kg/ha),Litter C - soil layer 2 (kg/ha),
LC3D,SOIL ORGANIC MATTER,LitC L3 (kg/ha),Litter C - soil layer 3 (kg/ha),
LC4D,SOIL ORGANIC MATTER,LitC L4 (kg/ha),Litter C - soil layer 4 (kg/ha),
LC5+D,SOIL ORGANIC MATTER,LitC L5+(kg/ha),Litter C - soil layer 5 thru bottom of profile (kg/ha),
LCTD,SOIL ORGANIC MATTER,LitC (kg/ha),Total soil litter carbon (kg/ha),
LN0D,SOIL ORGANIC MATTER,LitN L0 (kg/ha),Litter N on surface (kg/ha),
LN1D,SOIL ORGANIC MATTER,LitN L1 (kg/ha),Litter N - soil layer 1 (kg/ha),
LN2D,SOIL ORGANIC MATTER,LitN L2 (kg/ha),Litter N - soil layer 2 (kg/ha),
LN3D,SOIL ORGANIC MATTER,LitN L3 (kg/ha),Litter N - soil layer 3 (kg/ha),
LN4D,SOIL ORGANIC MATTER,LitN L4 (kg/ha),Litter N - soil layer 4 (kg/ha),
LN5+D,SOIL ORGANIC MATTER,LitN L5+(kg/ha),Litter N - soil layer 5 thru bottom of profile(kg/ha),
LNTD,SOIL ORGANIC MATTER,LitN (kg/ha),Total soil litter N (kg/ha),
LP0D,SOIL ORGANIC MATTER,LitP L0 (kg/ha),Litter P on surface (kg/ha),
LP1D,SOIL ORGANIC MATTER,LitP L1 (kg/ha),Litter P - soil layer 1 (kg/ha),
LP2D,SOIL ORGANIC MATTER,LitP L2 (kg/ha),Litter P - soil layer 2 (kg/ha),
LP3D,SOIL ORGANIC MATTER,LitP L3 (kg/ha),Litter P - soil layer 3 (kg/ha),
LP4D,SOIL ORGANIC MATTER,LitP L4 (kg/ha),Litter P - soil layer 4 (kg/ha),
LP5+D,SOIL ORGANIC MATTER,LitP L5+(kg/ha),Litter P - soil layer 5 thru bottom of profile(kg/ha),
LPTD,SOIL ORGANIC MATTER,LitP (kg/ha),Total soil litter P (kg/ha),
MEC0D,SOIL ORGANIC MATTER,MLitC-0 (kg/ha),Metabolic litter C surface (kg/ha),
MEC1D,SOIL ORGANIC MATTER,MLitC-1 (kg/ha),Metabolic litter C layer 1 (kg/ha),
MEC2D,SOIL ORGANIC MATTER,MLitC-2 (kg/ha),Metabolic litter C layer 2 (kg/ha),
MEC3D,SOIL ORGANIC MATTER,MLitC-3 (kg/ha),Metabolic litter C layer 3 (kg/ha),
MEC4D,SOIL ORGANIC MATTER,MLitC-4 (kg/ha),Metabolic litter C layer 4 (kg/ha),
MEC5+D,SOIL ORGANIC MATTER,MLitC-5+(kg/ha),Metabolic litter C layer 5 thru bottom of profile(kg/ha,
MECTD,SOIL ORGANIC MATTER,MetLitC (kg/ha),Total soil metabolic litter C (kg/ha),
MEN0D,SOIL ORGANIC MATTER,MLitN-0 (kg/ha),Metabolic litter N surface (kg/ha),
MEN1D,SOIL ORGANIC MATTER,MLitN-1 (kg/ha),Metabolic litter N layer 1 (kg/ha),
MEN2D,SOIL ORGANIC MATTER,MLitN-2 (kg/ha),Metabolic litter N layer 2 (kg/ha),
MEN3D,SOIL ORGANIC MATTER,MLitN-3 (kg/ha),Metabolic litter N layer 3 (kg/ha),
MEN4D,SOIL ORGANIC MATTER,MLitN-4 (kg/ha),Metabolic litter N layer 4 (kg/ha),
MEN5+D,SOIL ORGANIC MATTER,MLitN-5+(kg/ha),Metabolic litter N layer 5 thru bottom of profile(kg/ha,
MENTD,SOIL ORGANIC MATTER,MetLitN (kg/ha),Total soil metabolic litter N (kg/ha),
MEP0D,SOIL ORGANIC MATTER,MLitP-0 (kg/ha),Metabolic litter P surface (kg/ha),
MEP1D,SOIL ORGANIC MATTER,MLitP-1 (kg/ha),Metabolic litter P layer 1 (kg/ha),
MEP2D,SOIL ORGANIC MATTER,MLitP-2 (kg/ha),Metabolic litter P layer 2 (kg/ha),
MEP3D,SOIL ORGANIC MATTER,MLitP-3 (kg/ha),Metabolic litter P layer 3 (kg/ha),
MEP4D,SOIL ORGANIC MATTER,MLitP-4 (kg/ha),Metabolic litter P layer 4 (kg/ha),
MEP5+D,SOIL ORGANIC MATTER,MLitP-5+(kg/ha),Metabolic litter P layer 5 thru bottom of profile(kg/ha,
MEPTD,SOIL ORGANIC MATTER,MetLitP (kg/ha),Total soil metabolic litter P (kg/ha),
RESC,SOIL ORGANIC MATTER,CumRes (kg/ha),Cumulative residue added (kg/ha),
RESNC,SOIL ORGANIC MATTER,CumResN (kg/ha),Cumulative residue N added (kg[N]/ha),
RESPC,SOIL ORGANIC MATTER,CumResP (kg/ha),Cumulative residue P added (kg[P]/ha),
S1C0D,SOIL ORGANIC MATTER,SOC1 L0 (kg/ha),Active organic C on surface (kg/ha),
S1C1D,SOIL ORGANIC MATTER,SOC1 L1 (kg/ha),Active organic C - layer 1 (kg/ha),
S1C2D,SOIL ORGANIC MATTER,SOC1 L2 (kg/ha),Active organic C - layer 2 (kg/ha),
S1C3D,SOIL ORGANIC MATTER,SOC1 L3 (kg/ha),Active organic C - layer 3 (kg/ha),
S1C4D,SOIL ORGANIC MATTER,SOC1 L4 (kg/ha),Active organic C - layer 4 (kg/ha),
S1C5+D,SOIL ORGANIC MATTER,SOC1 L5+(kg/ha),Active organic C - layer 5 thru bottom of profile(kg/ha,
S1CTD,SOIL ORGANIC MATTER,SOC1 (kg/ha),Total active soil organic C (kg/ha),
S1N0D,SOIL ORGANIC MATTER,SON1 L0 (kg/ha),Active organic N on surface (kg/ha),
S1N1D,SOIL ORGANIC MATTER,SON1 L1 (kg/ha),Active organic N - layer 1 (kg/ha),
S1N2D,SOIL ORGANIC MATTER,SON1 L2 (kg/ha),Active organic N - layer 2 (kg/ha),
S1N3D,SOIL ORGANIC MATTER,SON1 L3 (kg/ha),Active organic N - layer 3 (kg/ha),
S1N4D,SOIL ORGANIC MATTER,SON1 L4 (kg/ha),Active organic N - layer 4 (kg/ha),
S1N5+D,SOIL ORGANIC MATTER,SON1 L5+(kg/ha),Active organic N - layer 5 thru bottom of profile(kg/ha,
S1NTD,SOIL ORGANIC MATTER,SON1 (kg/ha),Total active soil organic N (kg/ha),
S1P0D,SOIL ORGANIC MATTER,SOP1 L0 (kg/ha),Active organic P on surface (kg/ha),
S1P1D,SOIL ORGANIC MATTER,SOP1 L1 (kg/ha),Active organic P - layer 1 (kg/ha),
S1P2D,SOIL ORGANIC MATTER,SOP1 L2 (kg/ha),Active organic P - layer 2 (kg/ha),
S1P3D,SOIL ORGANIC MATTER,SOP1 L3 (kg/ha),Active organic P - layer 3 (kg/ha),
S1P4D,SOIL ORGANIC MATTER,SOP1 L4 (kg/ha),Active organic P - layer 4 (kg/ha),
S1P5+D,SOIL ORGANIC MATTER,SOP1 L5+(kg/ha),Active organic P - layer 5 thru bottom of profile(kg/ha,
S1PTD,SOIL ORGANIC MATTER,SOP1 (kg/ha),Total active soil organic P (kg/ha),
S2C1D,SOIL ORGANIC MATTER,SOC2 L1 (kg/ha),Intermed. org. C - layer 1 (kg/ha),
S2C2D,SOIL ORGANIC MATTER,SOC2 L2 (kg/ha),Intermed. org. C - layer 2 (kg/ha),
S2C3D,SOIL ORGANIC MATTER,SOC2 L3 (kg/ha),Intermed. org. C - layer 3 (kg/ha),
S2C4D,SOIL ORGANIC MATTER,SOC2 L4 (kg/ha),Intermed. org. C - layer 4 (kg/ha),
S2C5+D,SOIL ORGANIC MATTER,SOC2 L5+(kg/ha),Intermed. org. C - layer 5 thru bottom of profile(kg/ha,
S2CTD,SOIL ORGANIC MATTER,SOC2 (kg/ha),Total intermed. soil organic C (kg/ha),
S2N1D,SOIL ORGANIC MATTER,SON2 L1 (kg/ha),Intermed. org. N - layer 1 (kg/ha),
S2N2D,SOIL ORGANIC MATTER,SON2 L2 (kg/ha),Intermed. org. N - layer 2 (kg/ha),
S2N3D,SOIL ORGANIC MATTER,SON2 L3 (kg/ha),Intermed. org. N - layer 3 (kg/ha),
S2N4D,SOIL ORGANIC MATTER,SON2 L4 (kg/ha),Intermed. org. N - layer 4 (kg/ha),
S2N5+D,SOIL ORGANIC MATTER,SON2 L5+(kg/ha),Intermed. org. N - layer 5 thru bottom of profile(kg/ha,
S2NTD,SOIL ORGANIC MATTER,SON2 (kg/ha),Total intermed. soil organic N (kg/ha),
S23P1D,SOIL ORGANIC MATTER,SOP23 L1(kg/ha),Intermediate and stable organic P - layer 1 (kg/ha),
S23P2D,SOIL ORGANIC MATTER,SOP23 L2(kg/ha),Intermediate and stable organic P - layer 2 (kg/ha),
S23P3D,SOIL ORGANIC MATTER,SOP23 L3(kg/ha),Intermediate and stable organic P - layer 3 (kg/ha),
S23P4D,SOIL ORGANIC MATTER,SOP23 L4(kg/ha),Intermediate and stable organic P - layer 4 (kg/ha),
S23P+D,SOIL ORGANIC MATTER,SOP23 L5+(kg/h),Intermed. & stable org. P - bottom layers (kg/ha),
S23PTD,SOIL ORGANIC MATTER,SOP23 (kg/ha),Total intermed. soil organic P (kg/ha),
S3C1D,SOIL ORGANIC MATTER,SOC3 L1 (kg/ha),Passive organic C - layer 1 (kg/ha),
S3C2D,SOIL ORGANIC MATTER,SOC3 L2 (kg/ha),Passive organic C - layer 2 (kg/ha),
S3C3D,SOIL ORGANIC MATTER,SOC3 L3 (kg/ha),Passive organic C - layer 3 (kg/ha),
S3C4D,SOIL ORGANIC MATTER,SOC3 L4 (kg/ha),Passive organic C - layer 4 (kg/ha),
S3C5+D,SOIL ORGANIC MATTER,SOC3 L5+(kg/ha),Passive organic C - layer 5 -> bottom of profile(kg/ha),
S3CTD,SOIL ORGANIC MATTER,SOC3 (kg/ha),Total passive soil organic C (kg/ha),
S3N1D,SOIL ORGANIC MATTER,SON3 L1 (kg/ha),Passive organic N layer 1 (kg/ha),
S3N2D,SOIL ORGANIC MATTER,SON3 L2 (kg/ha),Passive organic N layer 2 (kg/ha),
S3N3D,SOIL ORGANIC MATTER,SON3 L3 (kg/ha),Passive organic N layer 3 (kg/ha),
S3N4D,SOIL ORGANIC MATTER,SON3 L4 (kg/ha),Passive organic N layer 4 (kg/ha),
S3N5+D,SOIL ORGANIC MATTER,SON3 L5+(kg/ha),Passive organic N layer 5 thru bottom of profile(kg/ha),
S3NTD,SOIL ORGANIC MATTER,SON3 (kg/ha),Total passive soil organic N (kg/ha),
SC%20D,SOIL ORGANIC MATTER,SOC 0-20cm (%),Organic C (SOM) in top 20 cm (%),
SC%40D,SOIL ORGANIC MATTER,SOC 20-40cm (%),Organic C (SOM) between 20 and 40 cm depth (%),
SC0D,SOIL ORGANIC MATTER,SOC L0 (kg/ha),Organic C on surface SOM + FOM (kg/ha),
SC1D,SOIL ORGANIC MATTER,SOC L1 (kg/ha),Organic C in soil layer 1 (kg/ha),
SC2D,SOIL ORGANIC MATTER,SOC L2 (kg/ha),Organic C in soil layer 2 (kg/ha),
SC3D,SOIL ORGANIC MATTER,SOC L3 (kg/ha),Organic C in soil layer 3 (kg/ha),
SC4D,SOIL ORGANIC MATTER,SOC L4 (kg/ha),Organic C in soil layer 4 (kg/ha),
SC5+D,SOIL ORGANIC MATTER,SOC L5+(kg/ha),Organic C in soil layer 5 thru bottom of profile(kg/ha),
SCS20D,SOIL ORGANIC MATTER,SOC 0-20cm kg/h,Organic C (SOM) in top 20 cm (kg/ha),
SCS40D,SOIL ORGANIC MATTER,SOC20-40cm kg/h,Organic C (SOM) between 20 and 40 cm depth (kg/ha),
SCTD,SOIL ORGANIC MATTER,SOC (kg/ha),Total soil organic carbon SOM + FOM (kg/ha),
SL%20D,SOIL ORGANIC MATTER,TOC 0-20cm (%),Organic C (SOM + litter) in top 20 cm (%),
SL%40D,SOIL ORGANIC MATTER,TOC 20-40cm (%),Organic C (SOM + litter) between 20 and 40 cm depth (%),
SLC20D,SOIL ORGANIC MATTER,TOC 0-20cm kg/h,Organic C (SOM + litter) in top 20 cm (kg/ha),
SLC40D,SOIL ORGANIC MATTER,TOC20-40cm kg/h,Organic C (SOM + litter) from 20 to 40 cm depth (kg/ha),
SN%20D,SOIL ORGANIC MATTER,SON % 0-20 cm,Organic N in top 20 cm of soil (%),
SN%40D,SOIL ORGANIC MATTER,SON % 20-40 cm,Organic N in 20-40 cm of soil (%),
SN0D,SOIL ORGANIC MATTER,SON L0 (kg/ha),Organic N on surface (kg/ha),
SN1D,SOIL ORGANIC MATTER,SON L1 (kg/ha),Organic N in soil layer 1 (kg/ha),
SN2D,SOIL ORGANIC MATTER,SON L2 (kg/ha),Organic N in soil layer 2 (kg/ha),
SN3D,SOIL ORGANIC MATTER,SON L3 (kg/ha),Organic N in soil layer 3 (kg/ha),
SN4D,SOIL ORGANIC MATTER,SON L4 (kg/ha),Organic N in soil layer 4 (kg/ha),
SN5+D,SOIL ORGANIC MATTER,SON L5+(kg/ha),Organic N in soil layer 5 thru bottom of profile(kg/ha),
SNS20D,SOIL ORGANIC MATTER,SON top 20 cm,Organic N in top 20 cm of soil (kg/ha),
SNS40D,SOIL ORGANIC MATTER,SON 20-40 cm,Organic N in 20-40 cm of soil (kg/ha),
SNTD,SOIL ORGANIC MATTER,SON (kg/ha),Soil organic N in SOM + FOM (kg/ha),
SNWLD,SOIL ORGANIC MATTER,Sen OM to surf,Senesced OM added to surface (kg/ha),
SNWSD,SOIL ORGANIC MATTER,Sen OM to soil,Senesced OM added to soil (kg/ha),
SENCC,SOIL ORGANIC MATTER,Sen OM Tot Cum,Cumulative senesced organic C (kg/ha),
SOMCT,SOIL ORGANIC MATTER,Soil SOMC kg/ha,C in soil organic matter in soil profile (kg/ha),
SOMNT,SOIL ORGANIC MATTER,Soil SOMN kg/ha,N in soil organic matter in soil profile (kg/ha),
SOMPT,SOIL ORGANIC MATTER,Soil SOMP kg/ha,P in soil organic matter in soil profile (kg/ha),
SP%20D,SOIL ORGANIC MATTER,SOP % 0-20 cm,Organic N in top 20 cm of soil (%),
SP%40D,SOIL ORGANIC MATTER,SOP % 20-40 cm,Organic N in 20-40 cm of soil (%),
SP0D,SOIL ORGANIC MATTER,SOP L0 (kg/ha),Organic P on surface (kg/ha),
SP1D,SOIL ORGANIC MATTER,SOP L1 (kg/ha),Organic P in soil layer 1 (kg/ha),
SP2D,SOIL ORGANIC MATTER,SOP L2 (kg/ha),Organic P in soil layer 2 (kg/ha),
SP3D,SOIL ORGANIC MATTER,SOP L3 (kg/ha),Organic P in soil layer 3 (kg/ha),
SP4D,SOIL ORGANIC MATTER,SOP L4 (kg/ha),Organic P in soil layer 4 (kg/ha),
SP5+D,SOIL ORGANIC MATTER,SOP L5+(kg/ha),Organic P in soil layer 5 thru bottom of profile(kg/ha),
SPS20D,SOIL ORGANIC MATTER,SOP top 20 cm,Organic N in top 20 cm of soil (kg/ha),
SPS40D,SOIL ORGANIC MATTER,SOP 20-40 cm,Organic N in 20-40 cm of soil (kg/ha),
SPTD,SOIL ORGANIC MATTER,SOP (kg/ha),Soil organic P (kg/ha),
STC0D,SOIL ORGANIC MATTER,SLitC-0 (kg/ha),Structural litter C surface (kg/ha),
STC1D,SOIL ORGANIC MATTER,SLitC-1 (kg/ha),Structural litter C layer 1 (kg/ha),
STC2D,SOIL ORGANIC MATTER,SLitC-2 (kg/ha),Structural litter C layer 2 (kg/ha),
STC3D,SOIL ORGANIC MATTER,SLitC-3 (kg/ha),Structural litter C layer 3 (kg/ha),
STC4D,SOIL ORGANIC MATTER,SLitC-4 (kg/ha),Structural litter C layer 4 (kg/ha),
STC5+D,SOIL ORGANIC MATTER,SLitC-5+(kg/ha),Structural litter C layer 5 -> bottom of profile(kg/ha),
STCTD,SOIL ORGANIC MATTER,StrLitC (kg/ha),Total soil structural litter C (kg/ha),
STN0D,SOIL ORGANIC MATTER,SLitN-0 (kg/ha),Structural litter N surface (kg/ha),
STN1D,SOIL ORGANIC MATTER,SLitN-1 (kg/ha),Structural litter N layer 1 (kg/ha),
STN2D,SOIL ORGANIC MATTER,SLitN-2 (kg/ha),Structural litter N layer 2 (kg/ha),
STN3D,SOIL ORGANIC MATTER,SLitN-3 (kg/ha),Structural litter N layer 3 (kg/ha),
STN4D,SOIL ORGANIC MATTER,SLitN-4 (kg/ha),Structural litter N layer 4 (kg/ha),
STN5+D,SOIL ORGANIC MATTER,SLitN-5+(kg/ha),Structural litter N layer 5 -> bottom of profile(kg/ha),
STNTD,SOIL ORGANIC MATTER,StrLitN (kg/ha),Total soil structural litter N (kg/ha),
STP0D,SOIL ORGANIC MATTER,SLitP-0 (kg/ha),Structural litter P surface (kg/ha),
STP1D,SOIL ORGANIC MATTER,SLitP-1 (kg/ha),Structural litter P layer 1 (kg/ha),
STP2D,SOIL ORGANIC MATTER,SLitP-2 (kg/ha),Structural litter P layer 2 (kg/ha),
STP3D,SOIL ORGANIC MATTER,SLitP-3 (kg/ha),Structural litter P layer 3 (kg/ha),
STP4D,SOIL ORGANIC MATTER,SLitP-4 (kg/ha),Structural litter P layer 4 (kg/ha),
STP5+D,SOIL ORGANIC MATTER,SLitP-5+(kg/ha),Structural litter P layer 5 -> bottom of profile(kg/ha),
STPTD,SOIL ORGANIC MATTER,StrLitP (kg/ha),Total soil structural litter P (kg/ha),
NTOPD,PLANT PHOSPHORUS,N:P ratio veg,N:P ratio in vegetative tissue,
PHFR1,PLANT PHOSPHORUS,Frac PTT veg,Fraction of photothermal time in phase 1 (vegetative),
PHFR2,PLANT PHOSPHORUS,Frac PTT rep,Fraction of photothermal time in phase 2 (reproductive),
PPAD,PLANT PHOSPHORUS,Plant P kg/ha,P content in plant (kg[P]/ha),
PLPPD,PLANT PHOSPHORUS,Plant P conc %,Whole plant P concentration (%),
PRTMD,PLANT PHOSPHORUS,Min root P %,Minumum root P concentration (%),
PRTOD,PLANT PHOSPHORUS,Opt root P %,Optimum root P concentration (%),
PSDMD,PLANT PHOSPHORUS,Min seed P %,Minumum seed P concentration (%),
PSDOD,PLANT PHOSPHORUS,Opt seed P %,Optimum seed P concentration (%),
PSHMD,PLANT PHOSPHORUS,Min shoot P %,Minumum P concentration in leaf and stem (%),
PSHOD,PLANT PHOSPHORUS,Opt shoot P %,Optimum P concentration in leaf and stem (%),
PSLMD,PLANT PHOSPHORUS,Min shell P %,Minumum shell P concentration (%),
PSLOD,PLANT PHOSPHORUS,Opt shell P %,Optimum shell P concentration (%),
PST1A,PLANT PHOSPHORUS,P stress photo,P stress factor for reducing photosynthate (0-1),
PST2A,PLANT PHOSPHORUS,P stress veg,P stress which affects vegetative growth (0-1),
PSTRAT,PLANT PHOSPHORUS,P stress ratio,Fraction of veg P conc between minimum and optimum,
PTDD,PLANT PHOSPHORUS,P demand,Plant daily demand for phosphorus (kg/ha),
PUPD,PLANT PHOSPHORUS,P uptake kg/ha,P uptake (kg[P]/ha-d),
RTPAD,PLANT PHOSPHORUS,Root P kg/ha,P content in roots (kg[P]/ha),
RTPPD,PLANT PHOSPHORUS,Root P conc %,Root P concentration (%),
SDPAD,PLANT PHOSPHORUS,Seed P kg/ha,P content in seed (kg[P]/ha),
SDPPD,PLANT PHOSPHORUS,Seed P conc %,Seed P concentration (%),
SHPAD,PLANT PHOSPHORUS,Veg P kg/ha,P content in leaf and stem tissue (kg[P]/ha),
SHPPD,PLANT PHOSPHORUS,Veg P conc %,P concentration in leaf and stem tissue (%),
SHWAD,PLANT PHOSPHORUS,Shoot mass,Mass of vegetative tissue (leaf and stem) (kg[DM]/ha),
SHRTD,PLANT PHOSPHORUS,Shoot/root,Shoot/root ratio,
SLPAD,PLANT PHOSPHORUS,Shell P kg/ha,P content in shell (kg[P]/ha),
SLPPD,PLANT PHOSPHORUS,Shell P conc %,Shell P concentration (%),
SNP0C,PLANT PHOSPHORUS,P senesce surf,P senesced to surface (kg[P]/ha),
SNP1C,PLANT PHOSPHORUS,P senesce soil,P senesced to soil (kg[P]/ha),
PACTD,SOIL PHOSPHORUS,P Active kg/ha,Active soil P (kg [P]/ha),
PAPC,SOIL PHOSPHORUS,P Applied kg/ha,Inorganic P applied (kg/ha),
